article,comment,created,likes,dislikes
Tesla-Karte: 1. deutscher Supercharger für Fremdmarken > teslamag.de,"In Lauenau wartet man inzwischen auch schon Mal obwohl vor kurzem die Säulen von 8 auf 12 erhöht wurden... Wenn jetzt noch Fremdfabrikate dazu kommen hat Tesla für mich 3 von 4 Gründen einen Tesla zu fahren verloren... Software seit dem Update verschlimmbessert, Strompreise auch nicht mehr besonders und Tesla Ladenetz wird dann auch keinen Vorteil mehr bringen... Was Effizienz und Fahrspaß angeht holen die anderen auf.. Model s auf das ich eigentlich warte, kommt irgendwann vielleicht und dann mit 3  verschlimmbesserungen, die man wohl nicht Mal gegen Aufpreis weg kriegt (Lenkrad, Blinkerhebel und Gangwahlhebel sind ja wohl weg gefallen...)
Tesla wird Grad immer beliebiger und verliert seine Alleinstellungsmerkmale... Dazu Haut elon noch tweets raus, bei denen ich mir bei jedem zweiten frage, was bei ihm nicht stimmt..",2022-06-05T11:41:14,4,0
Tesla-Karte: 1. deutscher Supercharger für Fremdmarken > teslamag.de,"Das hatte sich gestern bereits wieder erledigt, der Hinweis fehlt nun. Vermutlich wurde Limburg(Lahn so angezeigt, weil bisher Limburg in den Niederlanden als ""free"" eingetragen war und die Namensgleichheit für den Hinweis sorgte.",2022-06-05T06:19:59,2,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"In die Niederlande 0.57€ pro Kw und mit Membership (13€ pro Monat) 0,24 € pro Kw.",2021-11-01T14:44:47,5,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Was da der Tesla kWh Preis in den NL um mal ein Vergleich zu haben?

Haut der Tarif so hin?
Da würde sich die Grundgebühr ja schon beim ersten oder 2. Laden rechnen und billiger sein als für Tesla Kunden wenn sie viel fahren.",2021-11-01T14:53:27,1,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"afaik €0,25/kWh",2021-11-01T14:59:17,2,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"super, dann fahren bald alle Tesla Fahrer in die Niederlande zum Laden 🤣🤣",2021-11-01T15:29:49,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Theoretisch reicht eine Mitgliedschaft für einen kleineren Fuhrpark. 
Wenn 5 mal am Tagen laden okay ist. 

Da hat die Sekretärin ein Dienst -Tank I-Phon auf dem Tisch. 

24 Cent je kWh. Ist Strom so viel billiger in den Niederlanden?",2021-11-01T19:57:42,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,Zu teuer....also uninteressant,2021-11-01T16:44:49,0,1
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Sehr gut. Dann zahlen die ganzen ""Fremdfabrikatfahrer"" den weiteren Ausbau.
Wer macht denn noch freiwillig bei der Ionity und Co. Lotterie mit, wenn er am SuC laden kann?",2021-11-01T15:18:48,3,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Niederlande...!!! 
In DE wirds wohl mehr werden. Schließlich zahlen die Teslafahrer hier 40ct. Dann werdens hier 70ct oder 20€ GG und 50ct.
Da lockt man dann hier keinen von ionity und EnBW weg. Viel zu teuer... 
Warum sollte ich an den SuC wenn ich viel mehr zahle? 

Eher Wunschtraum mancher Fans von Tesla......",2021-11-01T16:43:56,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Mr. F....

Ist das mit den orakelten Preisen für D eher Dein Wunschtraum?

Ich vermute, D wird noch lange auf sich warten lassen. In D gibt es ja noch das Nebenthema ""eichrechtskonform"". Ich könnte mir vorstellen, das bremst.",2021-11-01T17:22:40,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Ich würde vermuten, dass auch in Zukunft: „liegt auf dem Weg, passt von SoC und da ist vermutlich was frei“ hauptsächlich entscheidend sein wird, gefolgt von der Frage, was der Spaß kostet.",2021-11-01T16:06:28,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Erst mal abwarten, wie gut die Tesla-Ladepunkte mit den Fermdfabrikaten klar kommen. Noch wissen wir nicht, wo die Chancen auf einen 'Lotteriegewinn' größer sind.",2021-11-01T15:47:50,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Der Vorteil ist aber schonmal das Säule, Säulenbetreiber als auch App von einem Hersteller kommen.

Bei anderen ist oft die Säule von Hersteller A, der Betreiber der Säule von Konzern B, und die App von Anbieter C. Und keiner hat was mit dem anderen zu tun wenn es um das jeweilige Unternehmen selbst geht.

Das die fremden eAutos bei Tesla problemlos laden konnten hatten wir ja bereits gesehen. Und schlechter als die Konkurrenz wo es nicht geht können sie ja nicht werden. Man hat dennoch mehr zur Auswahl. Auch wenn es mal hapern sollte.

Bin gespannt was es Wirtschaftlich mit den Verkauf von Teslas macht wenn der USP verloren geht. Denke jetzt kann man problemlos auch mit nem ID.3 oder Enyaq zum Nordkap fahren ohne Angst zu haben. Vorher hat es immer Abenteuer oder ein Tesla gebraucht.",2021-11-01T16:48:51,5,0
